name|country|area|description|aka
Abaia|FJ| |Lake eel| 
Afanc|UK|CYM|Welsh lake monster| 
Agropelter|US|ME|Forest twig flinger| 
Akkorokamui|JP| |Giant Ainu octopus| 
Albatwitch|US|PA|Apple stealing mini Bigfoot| 
Alicanto|CL| |Gold eating bird| 
Altamata-ha|US|GA|Swamp creature|Altie
Amarok|CA| |Inuit wolf spirit| 
Auli|CY| |Ayia Napa Sea Monster|The Friendly Monster
Azeban|CA| |Trickster spirit|The Raccoon
Batsquatch|US|WA|Flying sasquatch| 
Beast of Bladenboro|US|NC|Dog bloodsucker| 
Beast of Bray Road|US|WI|Wisconsin werewolf| 
Beast of Busco|US|IN|Giant turtle| 
Beast of Gevaudan|FR| |French werewolf| 
Beaver Eater|CA| |Lodge flipper|Saytoechin
Bigfoot|US| |Yeti's Cousin Eddie|Sasquatch
Bukavac|HR| |Lake strangler| 
Bunyip|AU| |Aquatic Aussie| 
Cadborosaurus|CA|BC|Sea serpent|Caddie
Champ|US|VT|Lake Champlain lurker|Champy
Chupacabra|MX| |Goat bloodsucker| 
Dahu|FR| |French cousin of Wampahoofus| 
Doyarchu|IE| |Dog-otter|Irish crocodile
Dragon|*| |Wings! Fire!| 
Drop bear|AU| |Carnivorous koala| 
Dungavenhooter|US| |Pounds prey to vapor, then inhales| 
Encantado|BR| |Frisky river dolphin| 
Fouke Monster|US|AR|Stinky bigfoot|Boggy Creek Monster
Glocester Ghoul|US|RI|Rhode Island dragon| 
Gloucester Sea Serpent|US|MA|American Nessie| 
Igopogo|CA|ON|Canadian Nessie| 
Isshii|JP| |Lake monster|Issie
Jackalope|US|*|Antlered rabbit| 
Jersey Devil|US|NJ|Snowy roof leaper| 
Kodiak Dinosaur|US|AK|Giant ocean saurian| 
Kraken|*| |Megasquid| 
Lizard Man|US|SC|Swamp creature| 
Llllaammaa|CL| |Head of a llama, body of a llama. But not the same llama.| 
Loch Ness Monster|UK|SC|Famed loch beastie|Nessie
Lusca|BS| |Giant octopus| 
Maero|NZ| |Giants| 
Menehune|US|HI|Hawaiian elves| 
Mokele-mbembe|CG| |Swamp monster| 
Mongolian Death Worm|MN| |Arrakis visitor| 
Mothman|US|WV|Only cryptid with a Richard Gere movie| 
Nain Rouge|WS|MI|Red dwarf| 
Snarly Yow|US|MD|Hellhound| 
Vampire|*| |Bloodsucker| 
Vlad the Impala|KE| |Savannah vampire| 
Wendigo|CA| |Cannibal bigfoot| 
Werewolf|*| |Shapeshifter|Loup-garou, Rougarou
Wyvern|UK| |Hind-legless dragon| 
Wampahoofus|US|VT|Asymmetric mountain dweller|Sidehill Gouger
Yeti|CN| |Hirsute Himalayan|Abominable Snowman
